city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Umm Kaddadah,26.69,13.6,304.16,10,91,8.76,SD,1586763874
Hunedoara,22.9,45.75,292.26,34,100,0.73,RO,1586763866
Amapá,-52.0,1.0,295.52,94,100,1.07,BR,1586763876
Rikitea,-134.97,-23.12,298.12,74,28,5.68,PF,1586763715
Mataura,168.86,-46.19,277.04,91,100,2.68,NZ,1586763878
Jamestown,-79.24,42.1,288.15,100,90,5.7,US,1586763879
Yamada,141.95,39.47,278.02,87,100,11.77,JP,1586763771
Kapaa,-159.32,22.08,295.15,68,40,6.7,US,1586763882
Hirara,125.28,24.8,292.15,39,40,8.7,JP,1586763687
Carutapera,-46.02,-1.2,299.04,88,100,3.8,BR,1586763883
Hilo,-155.09,19.73,296.15,88,90,2.6,US,1586763884
São João da Barra,-41.05,-21.64,294.67,78,77,2.21,BR,1586763886
Haines Junction,-137.51,60.75,270.78,80,100,3.3,CA,1586763706
Arraial do Cabo,-42.03,-22.97,295.76,63,34,1.75,BR,1586763887
Vaini,-175.2,-21.2,296.15,83,20,2.1,TO,1586763888
Manicoré,-61.3,-5.81,295.47,97,77,0.58,BR,1586763888
Hobyo,48.53,5.35,305.07,58,76,5.66,SO,1586763889
Carnarvon,113.63,-24.87,302.15,74,0,7.7,AU,1586763890
Morant Bay,-76.41,17.88,300.15,78,20,4.6,JM,1586763890
Bredasdorp,20.04,-34.53,290.15,59,22,3.19,ZA,1586763891
Busselton,115.33,-33.65,297.59,33,64,3.41,AU,1586763892
Beringovskiy,179.32,63.05,263.02,94,100,1.93,RU,1586763893
Atuona,-139.03,-9.8,300.81,70,57,0.64,PF,1586763715
Hobart,147.33,-42.88,288.15,67,75,2.6,AU,1586763772
Manama,50.58,26.22,297.15,73,25,6.7,BH,1586763895
Lata,-8.33,40.16,284.82,86,99,1.34,PT,1586763896
Presidencia Roque Sáenz Peña,-60.44,-26.79,288.25,61,59,2.0,AR,1586763714
Beloha,45.05,-25.17,304.91,38,0,0.68,MG,1586763897
São Filipe,-24.5,14.9,296.42,75,49,4.14,CV,1586763898
Lebu,-73.65,-37.62,281.8,72,5,3.48,CL,1586763899
Aksu,80.26,41.12,299.38,10,72,2.86,CN,1586763644
Barrow,-156.79,71.29,267.15,92,90,3.1,US,1586763900
Polunochnoye,60.42,60.87,274.59,89,100,3.56,RU,1586763901
Clyde River,-68.59,70.47,262.15,92,90,13.9,CA,1586763901
Itarema,-39.92,-2.92,297.89,89,99,1.68,BR,1586763902
Ponta do Sol,-17.1,32.67,290.15,63,40,5.1,PT,1586763903
Mahébourg,57.7,-20.41,300.37,94,75,1.5,MU,1586763701
Punta Arenas,-70.92,-53.15,283.15,66,20,11.8,CL,1586763764
Esso,158.7,55.93,264.64,86,52,1.16,RU,1586763905
Nikolskoye,30.79,59.7,283.15,66,20,3.0,RU,1586763906
Taoudenni,-3.98,22.68,305.05,12,82,5.45,ML,1586763906
Newton Abbot,-3.61,50.53,283.71,76,20,6.2,GB,1586763908
Vila Velha,-40.29,-20.33,296.15,78,90,4.6,BR,1586763908
Constitución,-72.42,-35.33,282.93,56,0,3.24,CL,1586763909
Florence,11.25,43.77,288.71,62,100,0.5,IT,1586763406
Solano,-121.95,38.23,286.15,87,1,7.2,US,1586763910
Mezen',44.24,65.85,273.82,85,100,7.79,RU,1586763681
Sibolga,98.78,1.74,302.71,69,61,1.36,ID,1586763716
Ushuaia,-68.3,-54.8,280.15,87,90,3.1,AR,1586763912
Sabha,14.43,27.04,304.04,11,3,6.54,LY,1586763913
Pueblorrico,-75.84,5.79,288.15,93,75,1.5,CO,1586763914
Lábrea,-64.8,-7.26,296.2,96,97,0.7,BR,1586763914
Hualmay,-77.61,-11.1,294.66,82,86,2.66,PE,1586763915
Dikson,80.55,73.51,266.46,96,100,5.2,RU,1586763681
Port-Gentil,8.78,-0.72,302.15,79,40,3.1,GA,1586763701
Albany,-73.97,42.6,288.15,62,90,7.7,US,1586763918
Thompson,-97.86,55.74,250.15,76,20,1.0,CA,1586763918
Sergeevka,67.42,53.88,288.42,36,0,6.52,KZ,1586763919
Namwala,26.44,-15.75,300.25,37,0,2.31,ZM,1586763920
The Valley,-63.06,18.22,300.15,74,20,6.7,AI,1586763920
Sakakah,40.21,29.97,296.15,18,0,3.1,SA,1586763747
Saskylakh,114.08,71.92,260.07,93,80,2.83,RU,1586763923
Shingū,135.98,33.73,282.15,76,75,8.7,JP,1586763924
Qurayyat,37.34,31.33,290.15,48,0,3.1,SA,1586763925
Chui,-53.46,-33.7,289.77,85,100,3.92,UY,1586763926
Upernavik,-56.15,72.79,271.59,97,98,5.56,GL,1586763672
Bima,118.72,-8.47,302.1,76,26,1.22,ID,1586763928
Castro,-50.01,-24.79,285.61,69,83,2.26,BR,1586763928
Mar del Plata,-57.56,-38.0,288.15,100,90,1.93,AR,1586763930
Adamovka,59.94,51.52,279.23,53,39,10.25,RU,1586763931
Geraldton,114.6,-28.77,300.15,57,25,5.1,AU,1586763931
Kuril'sk,147.88,45.23,272.08,94,26,3.95,RU,1586763932
Premià de Mar,2.37,41.49,287.59,93,75,2.1,ES,1586763933
Puerto Ayora,-90.35,-0.74,298.15,96,100,1.34,EC,1586763933
Wiarton,-81.13,44.74,283.15,93,90,2.6,CA,1586763934
São Félix do Xingu,-51.99,-6.64,293.92,91,100,0.55,BR,1586763935
Zabul Province,67.25,32.25,296.91,14,49,7.87,AF,1586763936
Hermanus,19.23,-34.42,289.82,75,68,0.45,ZA,1586763936
Verkhnyaya Inta,60.31,65.98,271.44,93,3,5.83,RU,1586763937
Port Alfred,26.89,-33.59,292.59,66,0,0.89,ZA,1586763703
Tazovsky,78.7,67.47,271.36,99,100,2.29,RU,1586763681
Cape Town,18.42,-33.93,293.15,77,20,1.0,ZA,1586763939
Xingyi,102.82,24.19,290.86,36,100,3.69,CN,1586763940
Madaoua,5.96,14.07,308.47,9,0,7.21,NE,1586763940
Cabo San Lucas,-109.91,22.89,291.48,69,0,4.43,MX,1586763941
Tasiilaq,-37.64,65.61,272.15,92,100,12.9,GL,1586763942
George Town,100.34,5.41,307.15,63,40,5.1,MY,1586763748
Tuktoyaktuk,-133.04,69.45,264.46,91,7,2.78,CA,1586763943
Yellowknife,-114.35,62.46,256.48,84,5,3.1,CA,1586763709
Saint-Philippe,55.77,-21.36,302.15,66,95,9.3,RE,1586763944
Pangkalanbuun,111.62,-2.68,300.74,85,100,1.54,ID,1586763945
Malibu,-118.81,34.01,288.15,93,75,2.6,US,1586763946
Udachny,112.4,66.42,273.15,87,0,3.0,RU,1586763946
North Bend,-124.22,43.41,278.71,93,1,3.59,US,1586763947
Bambous Virieux,57.76,-20.34,300.37,94,75,1.5,MU,1586763948
Dunedin,170.5,-45.87,279.82,73,30,1.34,NZ,1586763904
Esperance,121.9,-33.87,295.15,64,90,5.7,AU,1586763716
